,county,2012_reg_voters,2012_voted_num,2012_voted_perc,2012_early_vote_num,2012_early_vote_perc,2016_reg_voters,2016_voted_num,2016_voted_perc,2016_early_vote_num,2016_early_vote_perc,2020_reg_voters,2020_voted_num,2020_voted_perc,2020_early_vote_num,2020_early_vote_perc
89,orange county,"50,323","30,510",60.63%,"20,042",39.83%,"53,040","31,848",60.05%,"22,751",42.89%,"54,442","35,974",66.08%,"30,494",84.77%
237,palo pinto county,"17,255","9,335",54.10%,"4,383",25.40%,"17,495","10,195",58.27%,"5,711",32.64%,"18,946","12,478",65.86%,9607,76.99%
111,panola county,"15,888","10,221",64.33%,"5,539",34.86%,"16,348","10,416",63.71%,"6,393",39.11%,"16,808","11,452",68.13%,"8,092",70.66%
167,parker county,"75,933","47,373",62.39%,"30,715",40.45%,"85,221","56,759",66.6%,"43,202",50.69%,"103,999","75,434",72.53%,"65,348",86.63%
122,parmer county,"4,483","2,547",56.81%,926,20.66%,"4,463","2,825",63.3%,"1,000",22.41%,"4,537","2,648",58.36%,"1,316",49.70%
46,pecos county,"8,058","4,150",51.50%,"2,654",32.94%,"8,170","4,177",51.13%,"2,892",35.4%,"8,323","4,663",56.03%,"3,870",82.99%
99,polk county,"37,397","19,059",50.96%,"13,604",36.38%,"38,530","34,480",89.49%,"14,766",38.32%,"40,520","24,072",59.41%,"20,352",84.55%
72,potter county,"52,296","26,425",50.53%,"14,853",28.40%,"54,999","28,383",51.61%,"20,130",36.6%,"57,736","33,177",57.46%,"26,841",80.90%
35,presidio county,"5,200","1,808",34.77%,"1,044",20.08%,"4,806","2,208",45.94%,"1,500",31.21%,"4,789","2,217",46.29%,"1,806",81.46%
212,rains county,"6,777","4,065",59.98%,"2,388",35.24%,"7,220","4,630",64.13%,"3,156",43.71%,"8,320",6044,72.64%,"5,032",83.26%
211,rains county,"6,777","4,065",59.98%,"2,388",35.24%,"7,220","4,630",64.13%,"3,156",43.71%,"8,320",6044,72.64%,"5,032",83.26%
176,randall county,"78,745","49,592",62.98%,"34,291",43.55%,"85,106","54,189",63.67%,"42,973",50.49%,"93,313","64,419",69.04%,"56,094",87.08%
171,reagan county,"1,785",843,47.23%,458,25.66%,"1,893",904,47.75%,553,29.21%,"1,879","1,124",59.82%,902,80.25%
139,real county,"2,426","1,535",63.27%,928,38.25%,"2,522","1,681",66.65%,"1,157",45.88%,"2,702","1,982",73.35%,"1,638",82.64%
136,red river county,"7,790","5,074",65.13%,"3,219",41.32%,"8,243","5,158",62.57%,"2,835",34.39%,"8,489","5,800",68.32%,4263,73.50%
76,reeves county,"6,392","2,868",44.87%,"1,359",21.26%,"7,103","3,184",44.83%,"2,053",28.9%,"7,558","3,683",48.73%,"2,739",74.37%
48,refugio county,"5,165","2,673",51.75%,"1,285",24.88%,"5,085","2,948",57.97%,"1,706",33.55%,"5,007","3,366",67.23%,"2,532",75.22%
50,roberts county,690,440,63.77%,243,35.22%,716,554,77.37%,49,6.84%,680,550,80.88%,364,66.18%
95,robertson county,"11,546","7,278",63.03%,"4,716",40.85%,"11,505","7,023",61.04%,"4,576",39.77%,"11,844","8,080",68.22%,"6,537",80.90%
163,rockwall county,"48,495","35,655",73.52%,"22,151",45.68%,"57,428","39,859",69.41%,"30,843",53.71%,"71,102","57,792",81.28%,"52,457",90.77%
36,runnels county,"6,701","3,665",54.69%,"3,665",54.69%,"6,679","3,765",56.37%,"2,060",30.84%,"7,025","4,262",60.67%,"3,082",72.31%
69,rusk county,"30,867","18,546",60.08%,"11,149",36.12%,"31,331","18,994",60.62%,"13,324",42.53%,"32,388","21,348",65.91%,"16,184",75.81%
14,sabine county,"7,551","4,576",60.60%,"2,757",36.51%,"7,710","4,645",60.25%,"2,983",38.69%,"8,050","5,461",67.84%,"4,301",78.76%
238,san augustine county,"6,156","3,690",59.94%,"1,882",30.57%,"6,181","3,564",57.66%,"1,985",32.11%,"6,108","3,998",65.46%,"2,931",73.31%
148,san jacinto county,"16,325","9,614",58.89%,"5,674",34.76%,"17,574","10,326",58.76%,"6,890",39.21%,"18,969","12,628",66.57%,"10,413",82.46%
24,san patricio county,"42,806","20,065",46.87%,"11,613",27.13%,"41,354","21,582",52.19%,"14,221",34.39%,"43,248","25,850",59.77%,"21,966",84.97%
108,san saba county,"3,803","2,259",59.40%,"1,176",30.92%,"3,776","2,357",62.42%,"1,348",35.7%,"3,776","2,602",68.91%,"1,870",71.87%
10,schleicher county,"1,760","1,010",57.39%,627,35.63%,"1,823","1,066",58.48%,720,39.5%,"1,709","1,158",67.76%,909,78.50%
178,scurry county,"9,404","5,022",53.40%,"3,020",32.11%,"9,486","5,280",55.66%,"3,702",39.03%,"9,489","5,865",61.81%,"4,639",79.10%
65,shackelford county,"2,350","1,363",58.00%,731,31.11%,"2,328","1,504",64.6%,963,41.37%,"2,320","1,628",70.17%,"1,250",76.78%
98,shelby county,"14,387","9,268",64.42%,"4,330",30.10%,"15,179","9,077",59.8%,"4,755",31.33%,"15,570","10,063",64.63%,"6,975",69.31%
196,sherman county,"1,509","1,038",68.79%,590.0,39.10%,"1,518",935,61.59%,493.0,32.48%,"1,520",990,65.13%,684.0,69.09%
239,smith county,"124,337","84,794",68.20%,"54,530",43.86%,"135,216","83,871",62.03%,"63,335",46.84%,"1,520",990,65.13%,684,69.09%
45,somervell county,"5,662","3,509",61.97%,"2,147",37.92%,"6,018","3,896",64.74%,"2,697",44.82%,"6,712","4,940",73.60%,"4,268",86.40%
9,starr county,"30,627","11,864",38.74%,"7,295",23.82%,"32,064","11,691",36.46%,"4,768",14.87%,"34,050","17,478",51.33%,"14,282",81.71%
198,stephens county,"5,538","3,411",61.59%,"2,268",40.95%,"5,726","3,460",60.43%,"2,432",42.47%,"5,672","3,799",66.98%,"3,017",79.42%
38,sterling county,851,494,58.05%,247,29.02%,935,633,67.7%,44,4.71%,939,639,68.05%,484,75.74%
84,stonewall county,"1,056",675,63.92%,265,25.09%,998,701,70.24%,371,37.17%,953,736,77.23%,547,74.32%
213,sutton county,"2,553","1,489",58.32%,"1,095",42.89%,"2,536","1,415",55.8%,"1,055",41.6%,"2,449","1,557",63.58%,"1,333",85.61%
173,swisher county,"4,182","2,269",54.26%,"1,067",25.51%,"4,065","2,204",54.22%,"1,271",31.27%,"3,941","2,353",59.71%,"1,759",74.76%
128,tarrant county,"974,880","610,321",62.60%,"415,490",42.62%,"1,077,598","667,837",61.97%,"507,986",47.14%,"1,212,524","820,157",67.64%,"719,655",87.75%
124,taylor county,"75,696","43,185",57.05%,"29,405",38.85%,"78,621","45,636",58.05%,"32,992",41.96%,"83,696","54,924",65.62%,"45,426",82.71%
64,terrell county,894,555,62.08%,395,44.18%,700,437,62.43%,317,45.29%,673,458,68.05%,360,78.60%
110,terry county,"7,260","3,709",51.09%,"2,294",31.60%,"6,998","3,348",47.84%,"2,295",32.8%,6589,3608,54.76%,2879,79.79%
60,throckmorton county,"1,286",813,63.22%,372,28.93%,"1,229",808,65.74%,364,29.62%,"1,216",899,73.93%,543,60.40%
232,titus county,"15,821","8,790",55.56%,"4,579",28.94%,"16,605","9,250",55.71%,"5,997",36.12%,"17,666","10,530",59.61%,"8,230",78.16%
52,tom green county,"61,817","36,530",59.09%,"23,032",37.26%,"64,471","38,296",59.4%,"25,236",39.14%,"70,086","44,886",64.04%,"33,323",74.24%
42,travis county,"632,962","385,081",60.84%,"235,795",37.25%,"725,035","462,593",63.8%,"363,565",50.14%,"854,577","602,889",70.55%,"553,103",91.74%
235,trinity county,"11,733","6,258",53.34%,"3,713",31.65%,"11,580","5,985",51.68%,"3,627",31.32%,"11,541","6,938",60.12%,"5,334",76.88%
96,tyler county,"13,073","7,623",58.31%,"3,916",29.95%,"13,559","8,037",59.27%,"4,405",32.49%,"14,556","9,547",65.59%,"6,706",70.24%
194,upshur county,"26,825","15,053",56.12%,"7,838",29.22%,"27,915","16,000",57.32%,"10,583",37.91%,"28,619","18,850",65.87%,"15,342",81.39%
115,upton county,"2,200","1,298",59.00%,861,39.14%,"2,245","1,298",57.82%,892,39.73%,"2,207","1,365",61.85%,"1,063",77.88%
147,uvalde county,"16,194","8,431",52.06%,"6,237",38.51%,"16,843","8,953",53.16%,"5,393",32.02%,"17,420","10,323",59.26%,"8,194",79.38%
204,val verde county,"27,533","12,040",43.73%,"7,688",27.92%,"27,690","13,476",48.67%,"9,730",35.14%,"28,927","14,417",49.84%,"12,008",83.29%
182,van zandt county,"33,179","19,095",57.55%,"9,146",27.57%,"36,123","21,752",60.22%,"12,094",33.48%,"38,965","25,753",66.09%,"17,151",66.60%
200,victoria county,"51,501","28,886",56.09%,"17,782",34.53%,"54,466","31,039",56.99%,"21,438",39.36%,"56,612","34,006",60.07%,"27,933",82.14%
149,walker county,"30,781","15,145",49.20%,"10,173",33.05%,"32,523","19,783",60.83%,"13,499",41.51%,"35,038","23,595",67.34%,"19,448",82.42%
219,waller county,"29,838","15,699",52.61%,"9,642",32.31%,"31,132","16,774",53.88%,"11,476",36.86%,"35,116","22,617",64.41%,"19,211",84.94%
205,ward county,"6,158","3,238",52.58%,"1,830",29.72%,"6,476","3,433",53.01%,"2,009",31.02%,"6,880","4,034",58.63%,"3,108",77.05%
244,washington county,"22,519","14,386",63.88%,"9,248",41.07%,"22,951","14,824",64.59%,"10,451",45.54%,"23,947","17,410",72.70%,"14,507",83.33%
94,webb county,"110,867","49,101",44.29%,"29,658",26.75%,"123,291","56,867",46.12%,"19,522",15.83%,"137,840","68,397",49.62%,"53,357",78.01%
103,wharton county,"24,684","14,087",57.07%,"8,834",35.79%,"25,206","14,730",58.44%,"10,759",42.68%,"25,697","16,709",65.02%,"14,497",86.76%
214,wheeler county,"3,517","2,128",60.51%,994,28.26%,"3,527","2,306",65.38%,"1,113",31.56%,"3,514","2,336",66.48%,"1,643",70.33%
44,wichita county,"74,239","40,923",55.12%,"27,876",37.55%,"78,618","38,219",48.61%,"27,199",34.6%,"83,575","45,753",54.74%,"37,719",82.44%
226,wilbarger county,"8,002","3,980",49.74%,"2,468",30.84%,"8,071","4,104",50.85%,"2,761",34.21%,"8,196","4,518",55.12%,"3,739",82.76%
21,willacy county,"11,314","5,058",44.71%,"2,013",17.79%,"12,306","5,082",41.3%,"2,269",18.44%,"12,804","5,575",43.54%,"3,554",63.75%
192,williamson county,"253,440","162,969",64.30%,"104,856",41.37%,"299,958","202,683",67.57%,"159,929",53.32%,"376,672","287,092",76.22%,"261,305",91.02%
93,wilson county,"27,902","17,190",61.61%,"10,322",36.99%,"31,245","19,424",62.17%,"10,512",33.64%,"35,036","25,006",71.37%,"20,881",83.50%
157,winkler county,"3,589","1,745",48.62%,897,24.99%,"3,817","1,876",49.15%,"1,027",26.91%,"4,013","2,126",52.98%,"1,469",69.10%
31,wise county,"35,888","20,713",57.72%,"11,744",32.72%,"39,092","24,759",63.34%,"17,541",44.87%,"45,643","32,297",70.76%,"27,362",84.72%
181,wood county,"27,438","17,543",63.94%,"8,942",32.59%,"29,127","18,699",64.2%,"12,960",44.49%,"32,382","22,665",69.99%,"19,451",85.82%
28,yoakum county,"3,919","2,128",54.30%,"1,306",33.32%,"4,170","2,303",55.23%,"1,625",38.97%,"4,407","2,628",59.63%,"2,129",81.01%
253,young county,"11,535","7,316",63.42%,"5,554",48.15%,"11,762","7,689",65.37%,"5,455",46.38%,"11,769","8,242",70.03%,"7,088",86.00%
236,zapata county,"7,435","3,529",47.46%,"1,894",25.47%,"7,645","3,134",40.99%,"1,454",19.02%,"8,257","3,867",46.83%,"2,438",63.05%
134,zavala county,"8,566","3,653",42.65%,"2,180",25.45%,"8,615","3,390",39.35%,"1,717",19.93%,"8,066","4,379",54.29%,"2,968",67.78%
